Printer_Name,Consumable_Sku
Brother HL-L2379DW,"CPT/TN730,CPT/TN770,CPT/TN760J,CPT/DR730,CPT/TN760"
Brother MFC-L2759DW,"CPT/TN730,CPT/TN770,CPT/TN760J,CPT/DR730,CPT/TN760"
Brother HL-L2325DW,"CPT/TN730,CPT/TN760J,CPT/DR730,CPT/TN760"
Brother HL-2140,"CPT/DR360,CPT/TN360,CPT/TN360J"
Brother HL-2170W,"CPT/DR360,CPT/TN360,CPT/TN360J"
Brother MFC-7440N,"CPT/DR360,CPT/TN360,CPT/TN360J"
Brother MFC-7840W,"CPT/DR360,CPT/TN360,CPT/TN360J"
Brother DCP-7030,"CPT/DR360,CPT/TN360,CPT/TN360J"
Brother DCP-7040,"CPT/DR360,CPT/TN360,CPT/TN360J"
Brother MFC-7340,"CPT/DR360,CPT/TN360,CPT/TN360J"
Brother MFC-7345DN,"CPT/DR360,CPT/TN360,CPT/TN360J"
Brother MFC-7345N,"CPT/DR360,CPT/TN360,CPT/TN360J"
Brother HL-2120,"CPT/DR360,CPT/TN360,CPT/TN360J"
Brother HL-1650,CPT/DR500
Brother HL-1670N,CPT/DR500
Brother HL-1850,CPT/DR500
Brother HL-1870N,CPT/DR500
Brother HL-5040,CPT/DR500
Brother HL-5050,CPT/DR500
Brother HL-5070N,CPT/DR500
Brother MFC-8420,CPT/DR500
Brother MFC-8820D,CPT/DR500
Brother MFC-8820DN,CPT/DR500
Brother DCP-8020,CPT/DR500
Brother DCP-8025D,CPT/DR500
Brother DCP-8025DN,CPT/DR500
Brother HL-5050LT,CPT/DR500
Brother HL-5140,CPT/DR510
Brother HL-5150D,CPT/DR510
Brother HL-5150DLT,CPT/DR510
Brother HL-5170DN,CPT/DR510
Brother MFC-8220,CPT/DR510
Brother MFC-8440,CPT/DR510
Brother MFC-8840D,CPT/DR510
Brother MFC-8840DN,CPT/DR510
Brother DCP-8040,CPT/DR510
Brother DCP-8045D,CPT/DR510
Brother HL-5130,CPT/DR510
Brother MFC-8640D,CPT/DR510
Brother HL-5170DLT,CPT/DR510
Brother MFC-8120,CPT/DR510
Brother HL-4070CDW,"CPT/TN110BK,CPT/TN115BK,CPT/TN110C,CPT/TN110Y,CPT/TN110M,CPT/TN115C,CPT/TN115Y,CPT/TN115M"
Brother MFC-9440CN,"CPT/TN110BK,CPT/TN115BK,CPT/TN110C,CPT/TN110Y,CPT/TN110M,CPT/TN115C,CPT/TN115Y,CPT/TN115M"
